model_family,model_key,mode,feature_bundle,repeat,fold,n_train,n_val,decision_threshold,accuracy,open_precision,open_recall,open_f1,closed_precision,closed_recall,closed_f1,pr_auc_closed
XGBoost,xgboost,two-stage,low_plus_medium,3,2,2465,617,0.5,0.880064829821718,0.9077181208053692,0.9660714285714286,0.9359861591695502,0.09523809523809523,0.03508771929824561,0.05128205128205128,0.08707650991928961
LogisticRegression,lr,single,low_plus_medium,3,3,2466,616,0.5,0.6087662337662337,0.9393939393939394,0.6089285714285714,0.7388949079089924,0.13438735177865613,0.6071428571428571,0.22006472491909385,0.11784714142691152
LogisticRegression,lr,two-stage,low_plus_medium,3,3,2466,616,0.5,0.6915584415584416,0.9363207547169812,0.7089285714285715,0.806910569105691,0.15104166666666666,0.5178571428571429,0.23387096774193547,0.12087487597704558
LightGBM,lightgbm,single,low_plus_medium,3,3,2466,616,0.5,0.8912337662337663,0.9101497504159733,0.9767857142857143,0.94229112833764,0.13333333333333333,0.03571428571428571,0.056338028169014086,0.13701888225930156
LightGBM,lightgbm,two-stage,low_plus_medium,3,3,2466,616,0.5,0.887987012987013,0.9071310116086235,0.9767857142857143,0.94067067927773,0.0,0.0,0.0,0.08959201483133974
RandomForest,rf,single,low_plus_medium,3,3,2466,616,0.5,0.887987012987013,0.908485856905158,0.975,0.9405684754521964,0.06666666666666667,0.017857142857142856,0.028169014084507043,0.12749722051509899
XGBoost,xgboost,single,low_plus_medium,3,3,2466,616,0.5,0.8896103896103896,0.9086378737541528,0.9767857142857143,0.9414802065404475,0.07142857142857142,0.017857142857142856,0.02857142857142857,0.13841088536465515
XGBoost,xgboost,two-stage,low_plus_medium,3,3,2466,616,0.5,0.887987012987013,0.9071310116086235,0.9767857142857143,0.94067067927773,0.0,0.0,0.0,0.08917665620211099
LogisticRegression,lr,single,low_plus_medium,3,4,2466,616,0.5,0.6347402597402597,0.9373368146214099,0.6410714285714286,0.7613997879109226,0.13733905579399142,0.5714285714285714,0.22145328719723184,0.13103781107593296
LogisticRegression,lr,two-stage,low_plus_medium,3,4,2466,616,0.5,0.7207792207792207,0.9369369369369369,0.7428571428571429,0.8286852589641435,0.16279069767441862,0.5,0.24561403508771928,0.13046681784756325
LightGBM,lightgbm,single,low_plus_medium,3,4,2466,616,0.5,0.8766233766233766,0.9115646258503401,0.9571428571428572,0.9337979094076655,0.14285714285714285,0.07142857142857142,0.09523809523809523,0.12781793899013072
LightGBM,lightgbm,two-stage,low_plus_medium,3,4,2466,616,0.5,0.8814935064935064,0.9092436974789916,0.9660714285714286,0.9367965367965368,0.09523809523809523,0.03571428571428571,0.05194805194805195,0.11751856183933772
RandomForest,rf,single,low_plus_medium,3,4,2466,616,0.5,0.8782467532467533,0.9103214890016921,0.9607142857142857,0.9348392701998263,0.12,0.05357142857142857,0.07407407407407407,0.15837835275162654
XGBoost,xgboost,single,low_plus_medium,3,4,2466,616,0.5,0.8814935064935064,0.9120135363790186,0.9625,0.9365768896611643,0.16,0.07142857142857142,0.09876543209876543,0.13530665679901693
XGBoost,xgboost,two-stage,low_plus_medium,3,4,2466,616,0.5,0.8847402597402597,0.9109243697478991,0.9678571428571429,0.9385281385281385,0.14285714285714285,0.05357142857142857,0.07792207792207792,0.11095415644361607
LogisticRegression,lr,single,low_plus_medium,3,5,2466,616,0.5,0.6347402597402597,0.9396325459317585,0.6392857142857142,0.7608926673751328,0.14042553191489363,0.5892857142857143,0.2268041237113402,0.15834025994635
LogisticRegression,lr,two-stage,low_plus_medium,3,5,2466,616,0.5,0.7207792207792207,0.9389140271493213,0.7410714285714286,0.8283433133732535,0.16666666666666666,0.5178571428571429,0.25217391304347825,0.1361410871674289
LightGBM,lightgbm,single,low_plus_medium,3,5,2466,616,0.5,0.8831168831168831,0.9080267558528428,0.9696428571428571,0.9378238341968912,0.05555555555555555,0.017857142857142856,0.02702702702702703,0.12241385501107696
LightGBM,lightgbm,two-stage,low_plus_medium,3,5,2466,616,0.5,0.8912337662337663,0.9074380165289256,0.9803571428571428,0.9424892703862661,0.0,0.0,0.0,0.08409202727457246
RandomForest,rf,single,low_plus_medium,3,5,2466,616,0.5,0.887987012987013,0.908485856905158,0.975,0.9405684754521964,0.06666666666666667,0.017857142857142856,0.028169014084507043,0.1565213606721523
XGBoost,xgboost,single,low_plus_medium,3,5,2466,616,0.5,0.8863636363636364,0.9083333333333333,0.9732142857142857,0.9396551724137931,0.0625,0.017857142857142856,0.027777777777777776,0.14675359234133267
XGBoost,xgboost,two-stage,low_plus_medium,3,5,2466,616,0.5,0.8912337662337663,0.9074380165289256,0.9803571428571428,0.9424892703862661,0.0,0.0,0.0,0.11212770843970818
